param	n	pearson	p	sigma
ykgM	589	-0.2748	1.463e-09	6.9237
ydfR	589	-0.2742	1.633e-09	6.9069
rfaL	589	-0.2741	1.659e-09	6.9046
acrR	589	-0.274	1.691e-09	6.9016
dsdX	589	-0.274	1.671e-09	6.9035
nepI	589	-0.2738	1.737e-09	6.8975
yicH	589	-0.2737	1.76e-09	6.8955
ycgY	589	-0.2736	1.795e-09	6.8925
yegR	589	-0.2735	1.827e-09	6.8897
nudE	589	-0.2731	1.982e-09	6.8773
yfjZ	589	-0.2731	1.974e-09	6.8779
ykgL	589	-0.273	1.996e-09	6.8762
casE	589	-0.273	2.006e-09	6.8754
yghW	589	-0.2729	2.051e-09	6.8720
melR	589	-0.2728	2.087e-09	6.8694
sgbH	589	-0.2726	2.165e-09	6.8637
rlmG	589	-0.2723	2.26e-09	6.8571
rhaR	589	-0.2722	2.329e-09	6.8525
metA	589	-0.272	2.376e-09	6.8494
dgoT	589	-0.2719	2.418e-09	6.8467
ybiA	589	-0.2718	2.462e-09	6.8440
yrdD	589	-0.2718	2.49e-09	6.8422
rpe	589	-0.2717	2.542e-09	6.8390
ygfZ	589	-0.2717	2.539e-09	6.8392
ylaB	589	-0.2716	2.55e-09	6.8386
nanS	589	-0.2715	2.601e-09	6.8355
hofN	589	-0.2714	2.639e-09	6.8332
yhdV	589	-0.2712	2.772e-09	6.8257
folK	589	-0.2708	2.95e-09	6.8160
gspL	589	-0.2702	3.272e-09	6.8000
pdhR	589	-0.2701	3.351e-09	6.7963
ycaM	589	-0.2698	3.518e-09	6.7887
ypfG	589	-0.2698	3.504e-09	6.7894
yidG	589	-0.2696	3.672e-09	6.7821
hemG	589	-0.2694	3.793e-09	6.7771
yfdE	589	-0.2692	3.891e-09	6.7731
exuT	589	-0.269	4.048e-09	6.7670
yaiX	589	-0.269	4.067e-09	6.7662
ydhP	589	-0.2688	4.217e-09	6.7606
rsmD	589	-0.2688	4.185e-09	6.7618
yfbR	589	-0.2685	4.452e-09	6.7521
yagL	589	-0.2684	4.536e-09	6.7492
endA	589	-0.2684	4.48e-09	6.7511
hslU	589	-0.2683	4.57e-09	6.7480
yedA	589	-0.2682	4.63e-09	6.7460
rtcA	589	-0.2682	4.684e-09	6.7442
yibJ	589	-0.2681	4.761e-09	6.7416
panE	589	-0.2679	4.887e-09	6.7376
ycjT	589	-0.2678	4.993e-09	6.7342
bacA	589	-0.2676	5.14e-09	6.7297
fadB	589	-0.2676	5.193e-09	6.7281
rcnA	589	-0.2672	5.511e-09	6.7188
yicL	589	-0.2672	5.519e-09	6.7185
ilvN	589	-0.267	5.743e-09	6.7123
racC	589	-0.267	5.766e-09	6.7117
yqeH	589	-0.267	5.719e-09	6.7130
smpB	589	-0.2667	6.001e-09	6.7054
tatE	589	-0.2665	6.203e-09	6.7002
ybcL	589	-0.2663	6.446e-09	6.6942
citX	589	-0.266	6.757e-09	6.6867
hemC	589	-0.2658	7.063e-09	6.6798
ypdF	589	-0.2658	7.104e-09	6.6789
php	589	-0.2658	7.036e-09	6.6804
yjfI	589	-0.2658	7.082e-09	6.6794
rutD	589	-0.2656	7.339e-09	6.6737
ygfQ	589	-0.2653	7.659e-09	6.6670
fepB	589	-0.2652	7.809e-09	6.6640
ykgI	589	-0.2648	8.314e-09	6.6541
citG	589	-0.2647	8.523e-09	6.6501
lptE	589	-0.2645	8.857e-09	6.6441
agaB	589	-0.2644	8.933e-09	6.6427
cbl	589	-0.2643	9.184e-09	6.6383
ybjT	589	-0.2643	9.073e-09	6.6402
phoE	589	-0.2641	9.379e-09	6.6350
gspE	589	-0.2641	9.506e-09	6.6329
csgC	589	-0.264	9.558e-09	6.6320
yibD	589	-0.2639	9.832e-09	6.6275
oppB	589	0.264	9.579e-09	6.6316
ndk	589	0.2641	9.426e-09	6.6342
gntR	589	0.2642	9.32e-09	6.6360
dacD	589	0.2645	8.766e-09	6.6457
moaD	589	0.2646	8.698e-09	6.6469
atoC	589	0.2647	8.457e-09	6.6514
recA	589	0.2647	8.54e-09	6.6498
ydfT	589	0.2649	8.166e-09	6.6569
yfeH	589	0.2652	7.778e-09	6.6646
gldA	589	0.2653	7.653e-09	6.6671
cspC	589	0.2654	7.592e-09	6.6684
ycgJ	589	0.2655	7.406e-09	6.6723
birA	589	0.2656	7.246e-09	6.6757
narH	589	0.2662	6.612e-09	6.6902
nhoA	589	0.2665	6.282e-09	6.6982
mepA	589	0.2668	5.942e-09	6.7069
garR	589	0.2668	5.885e-09	6.7085
ycgM	589	0.2669	5.84e-09	6.7097
oppA	589	0.2671	5.644e-09	6.7150
yfbT	589	0.2671	5.656e-09	6.7147
lnt	589	0.2672	5.509e-09	6.7188
gph	589	0.2672	5.515e-09	6.7186
nuoI	589	0.2673	5.46e-09	6.7202
yfeC	589	0.2675	5.253e-09	6.7263
fucI	589	0.2676	5.144e-09	6.7296
dam	589	0.2679	4.907e-09	6.7369
yhbP	589	0.268	4.855e-09	6.7386
aspA	589	0.2682	4.639e-09	6.7457
hcaF	589	0.2684	4.464e-09	6.7517
ydgK	589	0.2688	4.209e-09	6.7609
ftsX	589	0.2688	4.219e-09	6.7605
nuoK	589	0.2691	3.973e-09	6.7699
yebC	589	0.2693	3.85e-09	6.7748
agp	589	0.2694	3.782e-09	6.7775
uvrC	589	0.2694	3.759e-09	6.7785
nohA	589	0.2698	3.542e-09	6.7877
folA	589	0.2699	3.453e-09	6.7916
ppiB	589	0.2699	3.437e-09	6.7924
efp	589	0.2704	3.178e-09	6.8045
mcrD	589	0.2704	3.187e-09	6.8040
fdoH	589	0.2705	3.12e-09	6.8074
leuO	589	0.2706	3.07e-09	6.8099
fabR	589	0.2706	3.054e-09	6.8107
yhbE	589	0.2706	3.049e-09	6.8109
pitA	589	0.2709	2.921e-09	6.8175
yajC	589	0.2709	2.884e-09	6.8195
ftsY	589	0.2709	2.899e-09	6.8187
ymfN	589	0.2712	2.742e-09	6.8273
oppC	589	0.2712	2.757e-09	6.8265
tsr	589	0.2712	2.768e-09	6.8259
bamD	589	0.2717	2.509e-09	6.8410
plsX	589	0.272	2.404e-09	6.8476
yibH	589	0.2721	2.335e-09	6.8521
yciS	589	0.2722	2.299e-09	6.8545
yphC	589	0.2722	2.297e-09	6.8546
ydgC	589	0.2724	2.214e-09	6.8603
phnM	589	0.2726	2.161e-09	6.8640
proS	589	0.2733	1.899e-09	6.8838
nuoF	589	0.2734	1.856e-09	6.8873
mltA	589	0.2736	1.816e-09	6.8907
dedA	589	0.274	1.677e-09	6.9029
ybiV	589	0.2741	1.649e-09	6.9054
hyaE	589	0.2744	1.574e-09	6.9126
yegH	589	0.2749	1.427e-09	6.9275
nuoB	589	0.275	1.409e-09	6.9294
ybjQ	589	0.275	1.417e-09	6.9286
holC	589	0.275	1.407e-09	6.9296
degS	589	0.2751	1.382e-09	6.9324
menE	589	0.2753	1.332e-09	6.9380
epmC	589	0.2754	1.308e-09	6.9408
smrA	589	0.2756	1.251e-09	6.9475
sufS	589	0.2758	1.222e-09	6.9510
ydjM	589	0.2763	1.109e-09	6.9658
xerD	589	0.2763	1.117e-09	6.9647
yehW	589	0.2764	1.096e-09	6.9677
ccmG	589	0.2764	1.098e-09	6.9674
ivy	589	0.2765	1.071e-09	6.9711
curA	589	0.2765	1.07e-09	6.9713
moeB	589	0.2767	1.034e-09	6.9765
prc	589	0.2767	1.032e-09	6.9768
kdsA	589	0.2768	1.018e-09	6.9787
mutT	589	0.2775	9.033e-10	6.9969
ybaE	589	0.2776	8.811e-10	7.0006
yceH	589	0.2777	8.641e-10	7.0036
sbcB	589	0.2781	8.01e-10	7.0150
mcrB	589	0.2782	7.931e-10	7.0165
ybjL	589	0.2783	7.707e-10	7.0208
zapC	589	0.2785	7.518e-10	7.0246
galF	589	0.2786	7.328e-10	7.0284
yjjX	589	0.2787	7.266e-10	7.0297
ugpC	589	0.2789	6.957e-10	7.0362
ynjA	589	0.279	6.82e-10	7.0392
yohK	589	0.2794	6.374e-10	7.0494
fdnH	589	0.2796	6.158e-10	7.0545
yhbU	589	0.2797	6.039e-10	7.0575
ygiC	589	0.2799	5.739e-10	7.0651
nuoJ	589	0.28	5.727e-10	7.0654
lpxM	589	0.2801	5.557e-10	7.0699
ymfS	589	0.2801	5.60e-10	7.0688
spr	589	0.2801	5.567e-10	7.0697
yphA	589	0.2805	5.209e-10	7.0796
prfB	589	0.2805	5.172e-10	7.0807
ygiM	589	0.2806	5.084e-10	7.0832
betB	589	0.2807	4.993e-10	7.0859
apt	589	0.2809	4.824e-10	7.0910
yadG	589	0.2809	4.795e-10	7.0920
fimE	589	0.2809	4.821e-10	7.0912
menD	589	0.281	4.719e-10	7.0943
ycjQ	589	0.2811	4.654e-10	7.0964
wzxE	589	0.2812	4.534e-10	7.1003
groS	589	0.2815	4.296e-10	7.1083
cydC	589	0.2819	3.978e-10	7.1198
pmrD	589	0.2827	3.469e-10	7.1401
rarA	589	0.2828	3.367e-10	7.1445
maeB	589	0.283	3.254e-10	7.1496
yafP	589	0.283	3.272e-10	7.1488
yhaJ	589	0.2831	3.221e-10	7.1511
mdtQ	589	0.2831	3.224e-10	7.1510
ssb	589	0.2837	2.877e-10	7.1678
tbpA	589	0.2839	2.769e-10	7.1735
hyfD	589	0.2841	2.644e-10	7.1803
lptB	589	0.2842	2.611e-10	7.1821
dapA	589	0.2844	2.521e-10	7.1873
envC	589	0.2844	2.509e-10	7.1880
pepT	589	0.2847	2.377e-10	7.1960
ymfR	589	0.2847	2.407e-10	7.1942
ymfP	589	0.2847	2.376e-10	7.1961
pncC	589	0.285	2.242e-10	7.2046
ybeX	589	0.2851	2.208e-10	7.2069
nanT	589	0.2853	2.143e-10	7.2113
ypeA	589	0.2855	2.059e-10	7.2171
dcuA	589	0.2856	1.999e-10	7.2215
yciB	589	0.2856	2.022e-10	7.2198
grxC	589	0.2857	1.982e-10	7.2228
mnmA	589	0.2858	1.942e-10	7.2257
yedJ	589	0.2858	1.956e-10	7.2246
lpxA	589	0.286	1.869e-10	7.2313
yobA	589	0.286	1.871e-10	7.2311
asmA	589	0.2861	1.845e-10	7.2333
uup	589	0.2862	1.795e-10	7.2373
ybiW	589	0.2867	1.647e-10	7.2499
fabH	589	0.2868	1.618e-10	7.2525
yfgG	589	0.287	1.535e-10	7.2602
moeA	589	0.2871	1.527e-10	7.2609
yecF	589	0.2871	1.53e-10	7.2606
rpmF	589	0.2873	1.453e-10	7.2682
yedD	589	0.2874	1.444e-10	7.2690
yihD	589	0.2879	1.308e-10	7.2835
preT	589	0.288	1.281e-10	7.2865
fklB	589	0.2883	1.218e-10	7.2939
yjjU	589	0.2888	1.097e-10	7.3091
trpR	589	0.289	1.059e-10	7.3142
cynT	589	0.289	1.054e-10	7.3149
aspS	589	0.2892	1.014e-10	7.3206
yhbW	589	0.2892	1.016e-10	7.3202
rpiA	589	0.2894	9.909e-11	7.3239
ltaE	589	0.2895	9.575e-11	7.3288
yneJ	589	0.2896	9.469e-11	7.3305
tolR	589	0.2899	8.988e-11	7.3380
pykF	589	0.2906	7.759e-11	7.3593
zwf	589	0.2907	7.695e-11	7.3605
alkA	589	0.2907	7.639e-11	7.3615
fhuB	589	0.2908	7.51e-11	7.3640
ldhA	589	0.291	7.196e-11	7.3701
fpr	589	0.2912	6.93e-11	7.3756
rmuC	589	0.2914	6.661e-11	7.3813
fimH	589	0.2915	6.634e-11	7.3818
yhjR	589	0.2918	6.241e-11	7.3906
moaE	589	0.2921	5.844e-11	7.4001
narY	589	0.2921	5.856e-11	7.3998
ydbL	589	0.2922	5.796e-11	7.4013
ygiB	589	0.2922	5.702e-11	7.4036
phnI	589	0.2922	5.795e-11	7.4013
eno	589	0.2924	5.562e-11	7.4072
fldA	589	0.2926	5.307e-11	7.4139
hsdR	589	0.2928	5.081e-11	7.4202
ybjG	589	0.293	4.935e-11	7.4243
yadH	589	0.2932	4.75e-11	7.4298
cynR	589	0.2933	4.615e-11	7.4339
lpcA	589	0.2933	4.647e-11	7.4330
ybaM	589	0.2933	4.664e-11	7.4324
tsaB	589	0.2933	4.64e-11	7.4332
pagB	589	0.2936	4.365e-11	7.4419
lpxH	589	0.2937	4.317e-11	7.4435
setA	589	0.2938	4.192e-11	7.4477
fliF	589	0.294	4.095e-11	7.4510
wcaF	589	0.294	4.023e-11	7.4536
rsxD	589	0.2942	3.933e-11	7.4568
rsmE	589	0.2942	3.885e-11	7.4585
astA	589	0.2947	3.518e-11	7.4727
glnS	589	0.2948	3.50e-11	7.4734
pssA	589	0.295	3.306e-11	7.4815
fadM	589	0.295	3.335e-11	7.4803
fdx	589	0.2957	2.921e-11	7.4991
nudB	589	0.2958	2.833e-11	7.5035
cyaY	589	0.2958	2.864e-11	7.5019
aroK	589	0.2966	2.454e-11	7.5238
mhpT	589	0.2967	2.373e-11	7.5286
cptB	589	0.2967	2.381e-11	7.5281
arnA	589	0.2968	2.344e-11	7.5303
ratB	589	0.2969	2.282e-11	7.5341
yjiR	589	0.2973	2.143e-11	7.5430
truA	589	0.2974	2.09e-11	7.5466
glnB	589	0.2977	1.984e-11	7.5539
ymbA	589	0.2979	1.875e-11	7.5618
allA	589	0.298	1.861e-11	7.5629
dsbA	589	0.2981	1.809e-11	7.5669
yjiU	589	0.2982	1.79e-11	7.5684
hupB	589	0.2983	1.745e-11	7.5720
nagB	589	0.2983	1.733e-11	7.5729
yobF	589	0.2983	1.747e-11	7.5718
yeeW	589	0.2983	1.739e-11	7.5725
fabZ	589	0.2984	1.697e-11	7.5759
nrfE	589	0.2985	1.685e-11	7.5769
yjiH	589	0.2986	1.643e-11	7.5805
yggX	589	0.2989	1.549e-11	7.5887
lsrC	589	0.2992	1.469e-11	7.5962
kefB	589	0.2993	1.442e-11	7.5988
yagG	589	0.2993	1.443e-11	7.5987
dnaA	589	0.2994	1.404e-11	7.6026
hlpA	589	0.3001	1.224e-11	7.6218
ybgI	589	0.3001	1.224e-11	7.6218
nuoE	589	0.3002	1.19e-11	7.6257
moaC	589	0.3004	1.156e-11	7.6297
dnaC	589	0.3006	1.099e-11	7.6368
ymfO	589	0.3008	1.059e-11	7.6420
lolA	589	0.3012	9.772e-12	7.6532
yfcE	589	0.3012	9.732e-12	7.6538
nirD	589	0.3013	9.517e-12	7.6569
focA	589	0.3017	8.818e-12	7.6675
glmS	589	0.3017	8.898e-12	7.6663
yahD	589	0.3019	8.535e-12	7.6721
topB	589	0.302	8.308e-12	7.6759
yedW	589	0.3022	8.02e-12	7.6808
yqcA	589	0.3022	7.96e-12	7.6818
yhaH	589	0.3025	7.555e-12	7.6891
tfaQ	589	0.3026	7.393e-12	7.6921
secE	589	0.3029	6.962e-12	7.7004
mdlB	589	0.303	6.856e-12	7.7025
yhjK	589	0.303	6.78e-12	7.7041
nuoL	589	0.3033	6.438e-12	7.7113
hinT	589	0.3033	6.369e-12	7.7127
dinG	589	0.3036	6.103e-12	7.7187
pgl	589	0.3037	5.94e-12	7.7224
yejO	589	0.3037	5.888e-12	7.7236
miaB	589	0.3038	5.803e-12	7.7256
maeA	589	0.3041	5.482e-12	7.7335
hha	589	0.3041	5.482e-12	7.7335
ybaT	589	0.3041	5.429e-12	7.7348
ychN	589	0.3045	5.05e-12	7.7448
lpxK	589	0.3046	4.939e-12	7.7479
amyA	589	0.3049	4.619e-12	7.7572
apbE	589	0.3049	4.616e-12	7.7572
glrK	589	0.3049	4.61e-12	7.7574
yjiK	589	0.305	4.512e-12	7.7604
betI	589	0.3051	4.454e-12	7.7622
hflC	589	0.3051	4.417e-12	7.7633
deoD	589	0.3052	4.348e-12	7.7655
ileS	589	0.3053	4.292e-12	7.7672
yebF	589	0.3053	4.291e-12	7.7673
mhpA	589	0.3057	3.967e-12	7.7781
ccmE	589	0.306	3.703e-12	7.7875
ymfQ	589	0.3061	3.641e-12	7.7899
rodZ	589	0.3061	3.625e-12	7.7905
pqiB	589	0.3064	3.399e-12	7.7993
narZ	589	0.3066	3.291e-12	7.8037
yjiP	589	0.3066	3.274e-12	7.8044
lolD	589	0.3067	3.23e-12	7.8063
psuG	589	0.3068	3.155e-12	7.8095
ytjB	589	0.307	3.026e-12	7.8153
rnr	589	0.3071	2.971e-12	7.8177
manA	589	0.3073	2.816e-12	7.8251
ybjN	589	0.3073	2.85e-12	7.8234
pinE	589	0.3075	2.71e-12	7.8304
recC	589	0.3075	2.736e-12	7.8290
yehT	589	0.3078	2.575e-12	7.8373
zntA	589	0.308	2.478e-12	7.8426
garK	589	0.3082	2.37e-12	7.8486
ybbB	589	0.3083	2.33e-12	7.8510
yggE	589	0.3083	2.298e-12	7.8529
minC	589	0.3084	2.258e-12	7.8553
ydfG	589	0.3091	1.958e-12	7.8746
lgt	589	0.3095	1.79e-12	7.8868
valS	589	0.3108	1.375e-12	7.9226
cysQ	589	0.3112	1.263e-12	7.9342
fmt	589	0.3116	1.161e-12	7.9455
nagD	589	0.3116	1.167e-12	7.9448
dnaT	589	0.3116	1.172e-12	7.9443
ffh	589	0.3117	1.135e-12	7.9486
insN_1	589	0.3118	1.12e-12	7.9504
hisL	589	0.3119	1.098e-12	7.9530
kptA	589	0.3121	1.055e-12	7.9584
napC	589	0.3122	1.026e-12	7.9622
ydcT	589	0.3126	9.423e-13	7.9736
eutM	589	0.3127	9.168e-13	7.9773
qor	589	0.3127	9.308e-13	7.9753
ftsA	589	0.3129	8.787e-13	7.9830
srlB	589	0.313	8.763e-13	7.9834
rseB	589	0.3135	7.857e-13	7.9981
ulaC	589	0.3135	7.812e-13	7.9988
yjiM	589	0.3139	7.145e-13	8.0108
edd	589	0.314	6.969e-13	8.0141
cptA	589	0.314	7.026e-13	8.0130
ybhA	589	0.3141	6.898e-13	8.0155
tam	589	0.3141	6.821e-13	8.0170
yqaB	589	0.3141	6.848e-13	8.0165
srlE	589	0.3141	6.837e-13	8.0167
napF	589	0.3141	6.873e-13	8.0160
bamB	589	0.3142	6.755e-13	8.0183
yhcC	589	0.3143	6.562e-13	8.0222
iadA	589	0.3143	6.574e-13	8.0219
nuoH	589	0.3144	6.398e-13	8.0256
speB	589	0.3145	6.37e-13	8.0262
ampH	589	0.3149	5.805e-13	8.0386
sgrR	589	0.315	5.652e-13	8.0421
ydiK	589	0.3155	5.109e-13	8.0556
bioC	589	0.3156	5.037e-13	8.0575
nagE	589	0.3158	4.816e-13	8.0635
hsdM	589	0.316	4.577e-13	8.0703
accD	589	0.3163	4.349e-13	8.0771
baeS	589	0.3163	4.321e-13	8.0779
yahK	589	0.3165	4.126e-13	8.0841
yahJ	589	0.3172	3.575e-13	8.1031
symE	589	0.3172	3.553e-13	8.1040
uvrA	589	0.3173	3.47e-13	8.1071
lsrF	589	0.3176	3.262e-13	8.1153
vsr	589	0.3176	3.261e-13	8.1153
arcB	589	0.318	2.985e-13	8.1270
rsgA	589	0.3186	2.62e-13	8.1443
ydcL	589	0.3188	2.52e-13	8.1494
yjbR	589	0.3188	2.516e-13	8.1496
xthA	589	0.319	2.403e-13	8.1557
hemE	589	0.3193	2.277e-13	8.1628
nikD	589	0.3194	2.211e-13	8.1667
yjaG	589	0.3194	2.204e-13	8.1671
yjiE	589	0.3196	2.122e-13	8.1721
yjjM	589	0.3196	2.121e-13	8.1722
yqjE	589	0.3196	2.107e-13	8.1730
yqfB	589	0.3197	2.10e-13	8.1734
phoB	589	0.3198	2.023e-13	8.1784
pheT	589	0.3198	2.022e-13	8.1785
ybgC	589	0.3202	1.86e-13	8.1895
yohH	589	0.3202	1.864e-13	8.1891
ubiC	589	0.3203	1.825e-13	8.1919
pdxY	589	0.3209	1.599e-13	8.2093
pabA	589	0.321	1.567e-13	8.2120
msrC	589	0.321	1.558e-13	8.2127
eutN	589	0.3212	1.505e-13	8.2172
uvrY	589	0.3213	1.476e-13	8.2198
mgsA	589	0.3215	1.396e-13	8.2271
araE	589	0.3216	1.375e-13	8.2291
fryC	589	0.3218	1.33e-13	8.2334
yfeO	589	0.3219	1.294e-13	8.2370
glrR	589	0.322	1.272e-13	8.2393
yabI	589	0.3221	1.237e-13	8.2429
nagK	589	0.3224	1.166e-13	8.2506
menH	589	0.3224	1.167e-13	8.2506
glpG	589	0.3225	1.138e-13	8.2538
fdnG	589	0.323	1.014e-13	8.2689
rnt	589	0.3231	9.813e-14	8.2732
priC	589	0.3234	9.357e-14	8.2794
yohD	589	0.3234	9.328e-14	8.2798
phnJ	589	0.3234	9.29e-14	8.2803
thiQ	589	0.3235	9.087e-14	8.2832
ycjG	589	0.3235	9.096e-14	8.2831
yahM	589	0.3236	8.874e-14	8.2863
recR	589	0.3236	8.966e-14	8.2849
ydcD	589	0.3238	8.418e-14	8.2931
kefC	589	0.3242	7.758e-14	8.3038
ftsZ	589	0.3243	7.566e-14	8.3070
cobB	589	0.3245	7.36e-14	8.3106
mipA	589	0.3254	5.978e-14	8.3376
zipA	589	0.3254	5.979e-14	8.3375
yggL	589	0.3257	5.597e-14	8.3461
yacL	589	0.3258	5.515e-14	8.3480
ytjC	589	0.3259	5.345e-14	8.3520
rffH	589	0.3262	4.986e-14	8.3610
yeiR	589	0.3268	4.396e-14	8.3773
ycjN	589	0.3269	4.296e-14	8.3802
mdtM	589	0.3269	4.249e-14	8.3817
yjiT	589	0.3271	4.06e-14	8.3875
clsA	589	0.3274	3.861e-14	8.3940
nuoM	589	0.3275	3.707e-14	8.3992
mhpF	589	0.328	3.345e-14	8.4124
yjiG	589	0.3281	3.278e-14	8.4151
hfq	589	0.3285	3.012e-14	8.4259
ybaP	589	0.3286	2.907e-14	8.4305
eutK	589	0.3286	2.905e-14	8.4306
ycfL	589	0.3293	2.484e-14	8.4506
yjiY	589	0.3293	2.503e-14	8.4497
yecM	589	0.3299	2.199e-14	8.4662
hflX	589	0.33	2.157e-14	8.4687
yjdI	589	0.3302	2.03e-14	8.4764
yqfE	589	0.3304	1.963e-14	8.4807
glk	589	0.3306	1.872e-14	8.4867
murD	589	0.3309	1.741e-14	8.4960
frdC	589	0.3311	1.658e-14	8.5023
nudJ	589	0.3312	1.637e-14	8.5038
baeR	589	0.3314	1.571e-14	8.5091
hscA	589	0.3314	1.557e-14	8.5103
can	589	0.3315	1.519e-14	8.5134
pbpG	589	0.3315	1.522e-14	8.5131
glmU	589	0.3315	1.522e-14	8.5132
yfeZ	589	0.3317	1.469e-14	8.5176
ftsQ	589	0.3326	1.196e-14	8.5437
xseB	589	0.3327	1.166e-14	8.5470
lpxB	589	0.3328	1.121e-14	8.5519
pgsA	589	0.3328	1.124e-14	8.5516
rluE	589	0.3334	9.899e-15	8.5677
ccmH	589	0.3336	9.347e-15	8.5750
alaS	589	0.3337	9.318e-15	8.5754
ybbP	589	0.3338	9.12e-15	8.5781
eutP	589	0.3338	9.022e-15	8.5794
mntR	589	0.3339	8.756e-15	8.5832
mokB	589	0.3339	8.876e-15	8.5815
mrr	589	0.3339	8.766e-15	8.5831
ispE	589	0.334	8.66e-15	8.5846
orn	589	0.3346	7.509e-15	8.6026
yibN	589	0.3349	7.004e-15	8.6114
yfgC	589	0.3355	6.063e-15	8.6295
dedD	589	0.3358	5.692e-15	8.6375
cbpA	589	0.336	5.381e-15	8.6445
yfcA	589	0.336	5.421e-15	8.6436
ccmC	589	0.3361	5.356e-15	8.6451
proW	589	0.3361	5.289e-15	8.6467
mukF	589	0.3362	5.245e-15	8.6477
nuoG	589	0.3368	4.56e-15	8.6653
ptsI	589	0.3369	4.378e-15	8.6704
nfsA	589	0.3371	4.214e-15	8.6752
putP	589	0.3372	4.107e-15	8.6784
acrZ	589	0.3372	4.079e-15	8.6792
nrfC	589	0.3373	4.033e-15	8.6807
apaG	589	0.3383	3.203e-15	8.7094
uvrB	589	0.3383	3.219e-15	8.7088
fcl	589	0.3385	3.058e-15	8.7152
yehU	589	0.3386	2.978e-15	8.7185
chbB	589	0.3387	2.924e-15	8.7208
yciA	589	0.3389	2.744e-15	8.7287
pmbA	589	0.3393	2.531e-15	8.7388
yjiL	589	0.3395	2.413e-15	8.7447
modE	589	0.3401	2.114e-15	8.7612
ycdF	589	0.3407	1.806e-15	8.7807
yniB	589	0.3416	1.466e-15	8.8065
anmK	589	0.3418	1.415e-15	8.8109
pka	589	0.3418	1.408e-15	8.8115
cdsA	589	0.342	1.342e-15	8.8174
fabG	589	0.342	1.334e-15	8.8182
chaB	589	0.342	1.329e-15	8.8186
alaT	589	0.3422	1.284e-15	8.8229
mutL	589	0.3424	1.222e-15	8.8290
grxD	589	0.3425	1.193e-15	8.8320
rssB	589	0.3426	1.165e-15	8.8349
yibI	589	0.3428	1.102e-15	8.8417
lpxD	589	0.343	1.048e-15	8.8479
polB	589	0.3431	1.031e-15	8.8499
ybiO	589	0.3431	1.03e-15	8.8500
napH	589	0.3435	9.375e-16	8.8616
yjjK	589	0.3438	8.74e-16	8.8702
yahN	589	0.3442	8.006e-16	8.8810
yhdE	589	0.3442	8.022e-16	8.8808
yoaF	589	0.3454	5.923e-16	8.9179
yggS	589	0.3456	5.658e-16	8.9235
yrbG	589	0.3457	5.517e-16	8.9266
ypfH	589	0.3458	5.478e-16	8.9275
gntX	589	0.3459	5.328e-16	8.9309
rnhB	589	0.3463	4.808e-16	8.9434
ybhS	589	0.3466	4.511e-16	8.9512
idi	589	0.3471	3.925e-16	8.9681
fhuD	589	0.3484	2.869e-16	9.0062
ypdA	589	0.3484	2.90e-16	9.0049
folC	589	0.3485	2.801e-16	9.0091
ispD	589	0.3485	2.792e-16	9.0095
pyrG	589	0.3487	2.692e-16	9.0139
zur	589	0.349	2.49e-16	9.0234
hrpB	589	0.3492	2.381e-16	9.0288
ypdB	589	0.351	1.545e-16	9.0810
rdoA	589	0.3511	1.511e-16	9.0837
prpE	589	0.352	1.19e-16	9.1125
iraD	589	0.3525	1.053e-16	9.1271
ftsK	589	0.3526	1.043e-16	9.1282
sufE	589	0.3527	9.983e-17	9.1335
yciU	589	0.3528	9.944e-17	9.1340
ytfT	589	0.3529	9.565e-17	9.1386
yqaA	589	0.3532	8.996e-17	9.1460
feaB	589	0.3533	8.658e-17	9.1506
deoC	589	0.3539	7.546e-17	9.1670
yiaF	589	0.3539	7.512e-17	9.1675
paoB	589	0.3542	7.03e-17	9.1755
galU	589	0.3545	6.539e-17	9.1841
yjgA	589	0.3548	6.016e-17	9.1940
ruvA	589	0.3549	5.857e-17	9.1972
prpC	589	0.3551	5.602e-17	9.2025
mscK	589	0.3551	5.572e-17	9.2032
yhjJ	589	0.3554	5.111e-17	9.2135
uxuR	589	0.3556	4.97e-17	9.2168
ybgL	589	0.3556	4.949e-17	9.2173
ptrA	589	0.3557	4.791e-17	9.2211
frdA	589	0.3558	4.672e-17	9.2242
yfjD	589	0.3558	4.636e-17	9.2251
hemA	589	0.3567	3.774e-17	9.2495
fabA	589	0.3569	3.524e-17	9.2576
ada	589	0.357	3.477e-17	9.2592
betT	589	0.3577	2.89e-17	9.2811
ligT	589	0.3582	2.542e-17	9.2963
araD	589	0.3587	2.276e-17	9.3093
ccmF	589	0.3588	2.184e-17	9.3142
ybjC	589	0.359	2.117e-17	9.3179
thiK	589	0.3591	2.039e-17	9.3223
sapF	589	0.3592	1.973e-17	9.3262
mhpE	589	0.3595	1.859e-17	9.3332
yciV	589	0.3596	1.781e-17	9.3382
menB	589	0.3597	1.741e-17	9.3409
yafV	589	0.36	1.607e-17	9.3503
yjiX	589	0.3608	1.344e-17	9.3713
lexA	589	0.3611	1.223e-17	9.3823
yigL	589	0.3611	1.214e-17	9.3833
ccmB	589	0.3612	1.189e-17	9.3857
rimK	589	0.3615	1.10e-17	9.3948
dinF	589	0.3615	1.122e-17	9.3925
tsaD	589	0.362	9.846e-18	9.4078
ccmA	589	0.3622	9.306e-18	9.4144
prpR	589	0.3623	9.059e-18	9.4175
